Year,Month,Country,Model,Segment,Engine Type,Active Dealership Count,Gdp_Growth_Percent,Interest_Rate_Percent,Competition By Rivarly Index,Model Units Sold,Price_INR,Marketing_Spend_INR,Fuel_Price_INR
2017,8,Japan,3 Series,Sedan,Hybrid,65,6.8,6,8,245,4236902.56,13594516.32,63.09
2015,3,France,i4,Sedan,Petrol,44,8,6.75,6,265,6700659.95,12331297.9,60.49
2015,6,India,7 Series,SUV,Petrol,121,8,6.75,9,313,6637728.8,26114951.8,60.49
2017,2,France,5 Series,Electric,Diesel,295,6.8,6,5,674,3223830.72,4645725.92,63.09
2020,7,France,X1,Sedan,Diesel,319,5.83,4,2,807,8510681.4,30358621.8,79.76
2021,8,UK,7 Series,Electric,Petrol,45,9.05,4,8,201,4511041.92,18905261.76,99.86
2020,6,China,3 Series,Electric,Petrol,226,5.83,4,9,848,4643995.2,31117702.2,79.76
2020,6,Canada,7 Series,SUV,Diesel,89,5.83,4,10,447,5440199.7,26562923.4,79.76
2020,5,USA,5 Series,Sedan,Petrol,323,5.83,4,4,1051,6477303.3,22166348.1,79.76
2017,8,Canada,i4,SUV,Electric,92,6.8,6,6,436,6516297.92,26041683.36,63.09
2020,1,France,X5,Sedan,Diesel,74,5.83,4,10,197,6981183.3,18487060.8,79.76
2022,10,Germany,i7,SUV,Petrol,334,7.24,6.25,8,1021,6757320.6,24062525.4,105.41
2016,4,India,i4,Electric,Diesel,137,8.26,6.25,9,640,4184660.39,26805517.69,59.68
2019,4,Australia,iX,Sedan,Hybrid,316,4.04,5.15,5,1081,4442868.22,24327081.94,72.96
2015,3,Canada,7 Series,Electric,Diesel,31,8,6.75,6,100,5484440.1,23032672.6,60.49
2015,3,France,X3,Electric,Diesel,225,8,6.75,4,675,3439081.5,8265086,60.49
2019,4,India,X7,SUV,Hybrid,116,4.04,5.15,5,351,2540683.18,15194312.14,72.96
2017,11,Japan,X3,Sedan,Electric,118,6.8,6,7,355,5323625.12,13759660.64,63.09
2018,1,China,i4,Electric,Petrol,381,6.53,6.5,9,1195,6184644.48,27233992.24,75.55
2017,11,Brazil,X3,SUV,Hybrid,366,6.8,6,10,811,4294729.12,26602236.32,63.09
2015,11,UK,3 Series,Sedan,Diesel,190,8,6.75,6,473,7432611.45,6360857.4,60.49
2015,2,India,X3,Sedan,Petrol,365,8,6.75,6,1027,7267617.65,16568726.15,60.49
2019,9,Germany,X1,Electric,Hybrid,173,4.04,5.15,8,505,6680886.24,9679440.26,72.96
2020,10,Germany,X5,Sedan,Petrol,77,5.83,4,4,369,3129613.5,15479564.1,79.76
2017,2,India,7 Series,Electric,Petrol,301,6.8,6,3,782,7666772.96,4945082.56,63.09
2023,5,Germany,X3,Sedan,Hybrid,189,8.2,6.5,7,432,8068079.84,9013671.48,96.72
2019,9,China,5 Series,SUV,Petrol,190,4.04,5.15,5,773,3976828.66,35051273.32,72.96
2022,9,Germany,X5,Electric,Electric,178,7.24,6.25,2,554,8061766.2,19592700.6,105.41
2015,8,Canada,X5,Electric,Hybrid,31,8,6.75,2,398,7365895.45,7074590.3,60.49
2019,1,Brazil,X3,Sedan,Electric,75,4.04,5.15,6,424,4734336.6,25347326.9,72.96
2017,1,Germany,X5,Sedan,Diesel,30,6.8,6,8,67,7786593.76,29478586.72,63.09
2015,9,Brazil,X7,Electric,Petrol,109,8,6.75,1,540,6663645.4,20237400.5,60.49
2018,11,France,X3,Sedan,Diesel,393,6.53,6.5,6,887,5173293.16,30561781.25,75.55
2019,8,USA,3 Series,SUV,Diesel,309,4.04,5.15,2,687,5891618.88,14694259.72,72.96
2021,10,China,i4,Sedan,Petrol,112,9.05,4,2,514,5928605.76,12257340.48,99.86
2015,9,USA,X1,SUV,Hybrid,56,8,6.75,7,255,6522579.55,20329584.05,60.49
2017,7,France,i7,SUV,Petrol,48,6.8,6,10,302,3934876,12496528,63.09
2016,3,China,iX,SUV,Diesel,294,8.26,6.25,1,730,8050504.23,24170393.08,59.68
2023,3,India,X5,SUV,Diesel,319,8.2,6.5,6,847,8653831.42,26700248.05,96.72
2024,2,India,3 Series,SUV,Hybrid,99,6.8,6.5,7,498,6474124.8,37808326.4,94.77
2020,5,Brazil,7 Series,Sedan,Petrol,94,5.83,4,8,176,7796727.9,4710462.9,79.76
2024,12,France,7 Series,SUV,Diesel,282,6.8,6.5,7,736,7042547.2,23126771.2,94.77
2017,12,Brazil,iX,Sedan,Electric,345,6.8,6,6,836,4876446.08,5721443.2,63.09
2022,3,UK,X1,SUV,Diesel,197,7.24,6.25,9,609,8199709.2,19856718,105.41
2022,6,Germany,X5,Electric,Diesel,168,7.24,6.25,3,753,4452690,28098006.6,105.41
2016,2,Australia,X7,SUV,Hybrid,252,8.26,6.25,6,632,2969126.1,33294459.13,59.68
2020,12,UK,iX,Electric,Electric,82,5.83,4,4,531,5423823.6,14418896.7,79.76
2021,3,Germany,X1,SUV,Diesel,58,9.05,4,2,542,5503270.08,8995694.4,99.86
2016,5,China,X5,SUV,Diesel,110,8.26,6.25,1,529,5016472.59,20363810.82,59.68
2024,12,Brazil,3 Series,SUV,Electric,11,6.8,6.5,1,130,5383788.8,24344236.8,94.77
2016,11,China,i4,Electric,Petrol,253,8.26,6.25,10,533,7755607.32,28145420.67,59.68
2024,11,China,X7,Electric,Petrol,185,6.8,6.5,3,430,9166892.8,17137203.2,94.77
2015,1,Germany,i7,SUV,Diesel,247,8,6.75,4,647,2883093.45,15460599.05,60.49
2022,1,France,7 Series,Sedan,Diesel,68,7.24,6.25,2,520,6149664,27976412.4,105.41
2015,10,Germany,5 Series,SUV,Petrol,362,8,6.75,1,961,5180754,24423444.6,60.49
2023,9,Japan,3 Series,Electric,Hybrid,108,8.2,6.5,4,552,4627387.94,4593864.52,96.72
2020,7,India,7 Series,SUV,Electric,368,5.83,4,7,1150,5846045.4,23087929.8,79.76
2021,1,India,X3,Electric,Electric,11,9.05,4,10,361,3094956.48,28775060.16,99.86
2024,12,UK,5 Series,Electric,Hybrid,252,6.8,6.5,6,630,7993689.6,37116185.6,94.77
2021,8,India,7 Series,Electric,Hybrid,306,9.05,4,6,876,6782825.28,24675678.72,99.86
2024,3,Germany,X1,SUV,Hybrid,220,6.8,6.5,9,525,6598259.2,26453939.2,94.77
2017,8,Canada,X7,Electric,Hybrid,132,6.8,6,2,718,5884959.52,18083368.16,63.09
2016,5,Brazil,7 Series,Electric,Hybrid,238,8.26,6.25,4,680,3757130.42,3403442.26,59.68
2023,1,Germany,i7,SUV,Hybrid,91,8.2,6.5,5,466,5233204.03,8639546.81,96.72
2022,7,Germany,i4,Electric,Electric,153,7.24,6.25,1,497,9293035.2,5277439.8,105.41
2024,5,Australia,X1,SUV,Hybrid,397,6.8,6.5,8,893,3158438.4,8813708.8,94.77
2021,6,Brazil,3 Series,Electric,Petrol,149,9.05,4,8,347,3611065.92,28051013.76,99.86
2023,6,Japan,3 Series,Sedan,Hybrid,38,8.2,6.5,6,158,6667279.79,12671439.91,96.72
2018,8,India,3 Series,Sedan,Hybrid,279,6.53,6.5,5,701,5973798.11,12026449.89,75.55
2018,9,Brazil,3 Series,Electric,Electric,256,6.53,6.5,8,657,7237850.48,5408759.93,75.55
2015,2,India,i4,Sedan,Electric,21,8,6.75,3,306,5860487.4,12361063.5,60.49
2022,9,UK,7 Series,SUV,Hybrid,364,7.24,6.25,3,958,3909957,25198374,105.41
2017,12,Brazil,X5,Sedan,Electric,398,6.8,6,2,1096,2652337.6,26977327.52,63.09
2021,11,India,7 Series,Electric,Diesel,346,9.05,4,5,1086,3616240.32,26685933.12,99.86
2016,10,Japan,X3,Electric,Electric,115,8.26,6.25,3,647,7131412.22,33208254.36,59.68
2016,9,USA,X7,SUV,Electric,41,8.26,6.25,3,290,7935878.09,25011141.55,59.68
2021,10,China,5 Series,Electric,Electric,83,9.05,4,6,475,3993380.16,15395466.24,99.86
2020,10,China,X5,SUV,Electric,180,5.83,4,8,521,5953860.9,20464863.9,79.76
2017,7,Japan,X5,Sedan,Petrol,346,6.8,6,2,1019,7588628.96,26062196.16,63.09
2023,1,Australia,7 Series,Sedan,Petrol,78,8.2,6.5,4,421,9766875.02,20026280.09,96.72
2024,7,USA,X5,SUV,Petrol,310,6.8,6.5,7,630,6404652.8,22256665.6,94.77
2020,10,UK,iX,SUV,Hybrid,371,5.83,4,1,811,4285721.7,12480070.2,79.76
2024,5,Japan,iX,Electric,Hybrid,146,6.8,6.5,1,465,4159750.4,33282995.2,94.77
2024,6,China,X3,Sedan,Diesel,109,6.8,6.5,10,542,6659244.8,22433299.2,94.77
2020,10,China,5 Series,SUV,Petrol,155,5.83,4,7,395,4143894.3,32025130.8,79.76
2015,7,China,i7,Sedan,Hybrid,18,8,6.75,7,467,2814645.4,5718844.2,60.49
2018,5,France,i4,SUV,Electric,71,6.53,6.5,1,536,6563593.47,27018974.08,75.55
2024,7,Japan,7 Series,Sedan,Electric,194,6.8,6.5,1,571,3152198.4,16787264,94.77
2020,9,Germany,i4,Electric,Petrol,38,5.83,4,4,206,7315374.3,35989332.6,79.76
2020,3,UK,i7,Sedan,Diesel,390,5.83,4,5,1135,5736970.2,26957876.4,79.76
2019,8,China,7 Series,Sedan,Diesel,123,4.04,5.15,5,453,6085203.46,35007612.92,72.96
2015,2,India,7 Series,Sedan,Electric,152,8,6.75,4,517,2427500.15,22298155.1,60.49
2022,11,Japan,5 Series,Sedan,Diesel,399,7.24,6.25,8,1137,5011221.6,18670251,105.41
2019,7,France,i4,Sedan,Petrol,129,4.04,5.15,7,539,7505081.92,24358348.42,72.96
2019,2,Japan,iX,Electric,Electric,179,4.04,5.15,9,613,3190307.68,9014605.04,72.96
2021,4,UK,3 Series,SUV,Hybrid,166,9.05,4,7,730,4830006.72,30964644.48,99.86
2018,7,France,i4,Sedan,Hybrid,344,6.53,6.5,10,934,2719049.62,30035998.93,75.55
2020,3,UK,X7,Electric,Diesel,358,5.83,4,1,980,3853941,35168304.6,79.76
2018,2,Japan,X7,Sedan,Electric,269,6.53,6.5,7,725,6548889.62,7257273.24,75.55
2017,11,Germany,7 Series,Sedan,Electric,91,6.8,6,1,499,4340768.96,12648452.96,63.09
2021,10,UK,3 Series,SUV,Hybrid,251,9.05,4,7,662,6209427.84,6072675.84,99.86
2022,7,France,X1,Sedan,Electric,181,7.24,6.25,10,608,2859075,12291389.4,105.41
2018,1,France,i7,Electric,Electric,240,6.53,6.5,8,719,3904521.88,18937532.95,75.55
2016,8,UK,X3,Electric,Electric,217,8.26,6.25,9,450,2384573.1,4759470.84,59.68
2024,3,Canada,3 Series,SUV,Diesel,84,6.8,6.5,3,257,3222252.8,22583724.8,94.77
2017,12,Japan,X3,Sedan,Electric,279,6.8,6,4,699,2668226.88,15415206.4,63.09
2015,12,Canada,i4,Electric,Petrol,396,8,6.75,4,1078,7624869,13304902.45,60.49
2022,2,Australia,i4,Sedan,Diesel,123,7.24,6.25,9,246,4432882.8,15078231,105.41
2017,3,Japan,X3,Sedan,Electric,71,6.8,6,7,197,4535608,24849010.56,63.09
2024,5,UK,i7,Sedan,Electric,371,6.8,6.5,3,931,4683494.4,11906668.8,94.77
2021,11,USA,3 Series,SUV,Petrol,329,9.05,4,10,1013,2820713.28,14803145.28,99.86
2024,8,UK,X1,Sedan,Diesel,111,6.8,6.5,5,499,8134131.2,16060012.8,94.77
2019,10,Canada,7 Series,Electric,Hybrid,371,4.04,5.15,7,977,3666417.3,31519639.9,72.96
2024,7,Germany,5 Series,Sedan,Hybrid,219,6.8,6.5,8,790,4712281.6,39201760,94.77
2019,7,UK,i4,Electric,Diesel,264,4.04,5.15,1,880,2540260.66,9296707.56,72.96
2021,12,UK,X7,Sedan,Electric,29,9.05,4,2,346,6025293.12,12793777.92,99.86
2023,7,Germany,i7,Electric,Electric,67,8.2,6.5,7,353,9851178.99,17189174.89,96.72
2019,8,UK,5 Series,Electric,Hybrid,121,4.04,5.15,2,620,4529414.4,31273029.06,72.96
2015,1,China,X1,Sedan,Hybrid,322,8,6.75,7,675,6727795.4,14717613.75,60.49
2024,4,USA,X5,Sedan,Hybrid,205,6.8,6.5,9,667,5817676.8,32941542.4,94.77
2024,6,India,7 Series,Electric,Petrol,384,6.8,6.5,2,868,9711104,34029964.8,94.77
2015,9,USA,i4,SUV,Hybrid,362,8,6.75,7,836,4858336.1,17041896.55,60.49
2016,2,UK,7 Series,Sedan,Petrol,101,8.26,6.25,4,231,6928364.04,26570419.88,59.68
2020,1,China,5 Series,SUV,Diesel,61,5.83,4,2,567,5559352.5,36663420.3,79.76
2023,10,Japan,7 Series,Sedan,Electric,302,8.2,6.5,7,1016,3068218.63,30555606.49,96.72
2022,12,UK,X5,Sedan,Hybrid,17,7.24,6.25,5,386,6597684,4137268.2,105.41
2019,2,Canada,5 Series,Sedan,Electric,309,4.04,5.15,1,730,8058583.12,24940580.98,72.96
2015,7,China,i4,Sedan,Electric,107,8,6.75,5,552,7183260.4,18474494.35,60.49
2021,3,Germany,3 Series,SUV,Hybrid,245,9.05,4,3,875,3672197.76,20864585.28,99.86
2019,10,China,X7,Sedan,Hybrid,398,4.04,5.15,7,1083,6765601.5,28988533.84,72.96
2020,2,Germany,5 Series,Electric,Diesel,383,5.83,4,6,978,6091316.4,9815582.4,79.76
2021,11,Australia,iX,Electric,Petrol,78,9.05,4,8,248,3475792.32,25198293.12,99.86
2017,7,India,X5,SUV,Petrol,54,6.8,6,5,351,2720192.64,4026434.72,63.09
2024,2,Brazil,5 Series,Sedan,Electric,146,6.8,6.5,2,556,8499961.6,13625497.6,94.77
2017,3,China,5 Series,Electric,Hybrid,243,6.8,6,9,578,7082125.6,19339532.96,63.09
2019,11,France,iX,SUV,Diesel,41,4.04,5.15,8,147,4117034.88,27973359.12,72.96
2020,7,Canada,i4,Sedan,Diesel,298,5.83,4,6,886,6382751.7,29864004.3,79.76
2023,4,UK,5 Series,Electric,Diesel,135,8.2,6.5,10,319,5386206.24,33070440.98,96.72
2019,1,Canada,X7,Electric,Diesel,76,4.04,5.15,7,369,6795318.74,30891916.02,72.96
2015,5,USA,7 Series,SUV,Diesel,39,8,6.75,9,493,6993889.6,31432088.7,60.49
2018,12,Brazil,i4,Sedan,Petrol,123,6.53,6.5,7,581,5912178.72,10588413.36,75.55
2019,9,USA,X7,Sedan,Petrol,213,4.04,5.15,3,517,8416387.14,9770141.22,72.96
2024,8,Australia,i4,Electric,Petrol,38,6.8,6.5,6,207,2986963.2,5726656,94.77
2024,12,Brazil,X7,Electric,Hybrid,140,6.8,6.5,7,281,9867270.4,30550041.6,94.77
2019,9,Brazil,X5,Electric,Electric,194,4.04,5.15,2,775,2667580.02,27188598.64,72.96
2021,10,USA,X7,Sedan,Diesel,262,9.05,4,3,724,4794672.96,8811411.84,99.86
2018,9,Germany,X3,SUV,Hybrid,295,6.53,6.5,4,664,2778138.58,23881035.71,75.55
2015,7,USA,X7,SUV,Diesel,395,8,6.75,10,953,2333648.7,17153325.1,60.49
2019,4,Canada,3 Series,Sedan,Petrol,71,4.04,5.15,6,187,8321390.56,17754501.66,72.96
2021,5,Germany,3 Series,SUV,Hybrid,12,9.05,4,1,305,7849269.12,31020749.76,99.86
2024,1,Canada,i7,Electric,Petrol,77,6.8,6.5,9,525,6672723.2,17280556.8,94.77
2024,1,Australia,X3,SUV,Diesel,34,6.8,6.5,5,451,7841683.2,27234854.4,94.77
2020,3,UK,X3,SUV,Diesel,188,5.83,4,7,813,7971085.2,28281376.5,79.76
2019,8,Japan,7 Series,SUV,Electric,150,4.04,5.15,9,552,5229037.1,11018687.82,72.96
2018,2,Germany,X3,Electric,Diesel,240,6.53,6.5,9,911,6716718.68,23363323.41,75.55
2016,4,Australia,7 Series,Sedan,Petrol,309,8.26,6.25,1,865,5725259.9,19271704.56,59.68
2018,2,France,i7,Electric,Diesel,172,6.53,6.5,1,765,3932356.61,4746471.17,75.55
2024,5,Australia,i7,Sedan,Electric,320,6.8,6.5,3,638,7207449.6,4466259.2,94.77
2024,9,USA,X5,Sedan,Electric,139,6.8,6.5,6,313,8017152,33587756.8,94.77
2017,1,USA,3 Series,Sedan,Petrol,255,6.8,6,2,778,2578947.36,28068543.36,63.09
2024,5,Japan,X7,SUV,Hybrid,306,6.8,6.5,10,947,3962982.4,33718131.2,94.77
2015,9,Australia,X7,SUV,Diesel,181,8,6.75,1,588,4208689.05,10601429,60.49
2022,1,India,iX,Sedan,Electric,73,7.24,6.25,1,517,7919421.6,17556410.4,105.41
2019,9,UK,iX,Sedan,Diesel,40,4.04,5.15,5,192,5774017.48,10942282.12,72.96
2018,8,USA,X1,SUV,Diesel,56,6.53,6.5,4,400,6728344.98,19380221.42,75.55
2022,4,Japan,i4,Electric,Hybrid,139,7.24,6.25,1,469,8280824.4,35279217,105.41
2021,12,UK,X5,Sedan,Electric,361,9.05,4,4,884,6752148.48,10588744.32,99.86
2016,11,Australia,X1,Electric,Diesel,342,8.26,6.25,3,910,5964792.25,9800602.16,59.68
2015,10,Australia,X1,SUV,Electric,119,8,6.75,2,372,2716688.35,16607536.9,60.49
2018,5,Brazil,5 Series,Sedan,Petrol,78,6.53,6.5,9,305,7259872.06,21923166.79,75.55
2022,5,Japan,5 Series,Electric,Petrol,67,7.24,6.25,1,636,4909670.4,33879115.2,105.41
2016,11,USA,X1,Electric,Diesel,115,8.26,6.25,7,433,5215556.56,14502088.03,59.68
2017,12,India,X3,Electric,Electric,309,6.8,6,4,931,4711041.28,25178192.16,63.09
2015,6,Australia,i4,SUV,Diesel,339,8,6.75,5,751,7620442.65,28421785.8,60.49
2015,7,India,X5,SUV,Electric,265,8,6.75,10,904,3804030.85,18934514,60.49
2017,8,Australia,X1,Electric,Electric,321,6.8,6,5,652,5403332,15475507.52,63.09
2019,8,USA,X7,Electric,Hybrid,180,4.04,5.15,1,573,2567654.04,21779356.76,72.96
2017,11,UK,i4,SUV,Hybrid,392,6.8,6,6,1027,7582637.92,22129013.28,63.09
2015,2,China,5 Series,Electric,Hybrid,171,8,6.75,9,575,7491950.2,19673586.15,60.49
2015,9,UK,X7,Electric,Diesel,295,8,6.75,2,848,4848521.15,14217885.25,60.49
2022,7,Australia,5 Series,SUV,Hybrid,80,7.24,6.25,7,432,8354315.4,4820695.2,105.41
2024,4,Canada,5 Series,Electric,Hybrid,264,6.8,6.5,6,918,4091360,25360774.4,94.77
2016,4,China,i4,Electric,Petrol,383,8.26,6.25,5,1197,2767623.29,22261457.99,59.68
2017,11,China,5 Series,Electric,Electric,64,6.8,6,4,216,7712422.08,28828884.48,63.09
2016,8,India,i7,SUV,Electric,332,8.26,6.25,4,847,8030414.42,18163203.94,59.68
2017,4,Japan,3 Series,Electric,Hybrid,12,6.8,6,6,72,7499088.96,16248677.28,63.09
2021,6,India,i7,SUV,Electric,35,9.05,4,4,416,7505615.04,23051878.08,99.86
2015,5,India,3 Series,SUV,Petrol,322,8,6.75,5,827,5301676.75,23687259.2,60.49
2024,3,Canada,iX,Sedan,Petrol,135,6.8,6.5,6,355,4849145.6,32987052.8,94.77
2022,10,UK,iX,Sedan,Hybrid,62,7.24,6.25,5,254,7398067.8,33568645.2,105.41
2024,11,UK,5 Series,Electric,Petrol,207,6.8,6.5,7,626,5409996.8,10876736,94.77
2024,2,France,X5,SUV,Electric,308,6.8,6.5,9,862,7041216,37287494.4,94.77
2024,9,Australia,X5,Sedan,Diesel,197,6.8,6.5,10,409,5469068.8,23917836.8,94.77
2016,10,Canada,3 Series,Electric,Electric,195,8.26,6.25,7,561,2386252.85,22876649.63,59.68
2017,9,France,X7,Sedan,Diesel,314,6.8,6,7,889,6624462.24,21738163.04,63.09
2023,1,USA,i4,Sedan,Hybrid,307,8.2,6.5,4,784,6706005.12,35221472.05,96.72
2021,10,Australia,5 Series,SUV,Diesel,213,9.05,4,1,495,7897095.36,6717110.4,99.86
2018,3,Australia,i4,SUV,Petrol,20,6.53,6.5,8,417,6411904.45,20723332.63,75.55
2024,8,Brazil,i7,Sedan,Electric,368,6.8,6.5,4,869,5229619.2,14770995.2,94.77
2019,6,Brazil,X5,Sedan,Diesel,363,4.04,5.15,1,951,7666625.4,26988112.9,72.96
2016,5,Germany,X3,SUV,Electric,155,8.26,6.25,5,542,3975094.78,22506298.35,59.68
2022,5,Germany,i7,Electric,Hybrid,94,7.24,6.25,8,398,3223228.8,5933828.4,105.41
2018,6,India,i7,SUV,Hybrid,109,6.53,6.5,4,296,2939880.93,10222732.03,75.55
2023,7,USA,3 Series,Sedan,Petrol,113,8.2,6.5,8,517,8053217.24,36184403.39,96.72
2019,1,China,7 Series,Electric,Hybrid,55,4.04,5.15,8,418,2699339.44,17973437.44,72.96
2023,9,China,i7,Sedan,Diesel,53,8.2,6.5,3,306,8366240.11,35079203.94,96.72
2018,3,Brazil,5 Series,Electric,Hybrid,287,6.53,6.5,9,930,5060176.1,28977116.56,75.55
2024,4,Brazil,X1,Sedan,Petrol,190,6.8,6.5,3,805,3733433.6,36945043.2,94.77
2019,10,Brazil,X1,Electric,Electric,196,4.04,5.15,1,538,8277307.64,23294231.8,72.96
2023,1,Canada,5 Series,Electric,Electric,123,8.2,6.5,2,697,5899131.08,14348766.89,96.72
2022,11,Japan,7 Series,Sedan,Hybrid,264,7.24,6.25,6,902,5528724,10010496,105.41
2017,10,Germany,7 Series,Electric,Diesel,390,6.8,6,10,1118,2606948.96,22758072.48,63.09
2015,3,Canada,3 Series,SUV,Petrol,389,8,6.75,2,1242,6948984.6,24472904.25,60.49
2017,2,UK,X5,Sedan,Diesel,39,6.8,6,6,406,3300867.68,27811319.36,63.09
2018,2,China,i4,SUV,Petrol,273,6.53,6.5,1,878,2398163.74,12549633.39,75.55
2016,1,Australia,7 Series,Sedan,Hybrid,107,8.26,6.25,1,479,5391728.74,23791575.86,59.68
2015,8,Germany,X3,Electric,Petrol,322,8,6.75,5,721,2728491.95,7098454.1,60.49
2021,3,France,3 Series,Electric,Petrol,376,9.05,4,10,1161,8548034.88,31014318.72,99.86
2022,3,UK,iX,Electric,Hybrid,338,7.24,6.25,9,717,8264947.2,33175330.8,105.41
2021,6,Germany,X7,Sedan,Diesel,124,9.05,4,8,428,6997119.36,12564552,99.86
2019,8,Canada,iX,SUV,Hybrid,285,4.04,5.15,3,929,5175729.16,17549720.3,72.96
2015,9,USA,3 Series,SUV,Petrol,290,8,6.75,3,1044,3000423.8,25873619.5,60.49
2021,9,Australia,i7,Sedan,Hybrid,284,9.05,4,1,1016,6211941.12,30778661.76,99.86
2021,4,Germany,i4,Sedan,Petrol,270,9.05,4,3,602,6913811.52,11259937.92,99.86
2023,5,Japan,X7,SUV,Hybrid,340,8.2,6.5,1,1109,3958405.8,10529904.39,96.72
2017,2,Brazil,iX,SUV,Electric,216,6.8,6,8,711,3381811.84,25972981.76,63.09
2023,11,Brazil,X7,SUV,Electric,393,8.2,6.5,1,896,7582155.39,39164189.55,96.72
2015,9,Australia,X3,SUV,Hybrid,337,8,6.75,5,937,6186048.65,30958854.15,60.49
2015,8,Canada,X3,Sedan,Diesel,220,8,6.75,9,724,3826419.2,13919972.65,60.49
2018,3,Brazil,X3,Sedan,Petrol,224,6.53,6.5,7,480,4648194.74,10050047.28,75.55
2023,11,Germany,3 Series,Electric,Electric,49,8.2,6.5,4,157,5183496.89,30792499.82,96.72
2020,12,France,i4,SUV,Diesel,35,5.83,4,9,488,5006714.7,28399566,79.76
2017,9,China,3 Series,Electric,Petrol,36,6.8,6,9,149,3397570.88,26163262.4,63.09
2015,3,China,X1,Sedan,Electric,199,8,6.75,2,863,4977911.7,31023132.45,60.49
2018,9,UK,i7,Sedan,Electric,92,6.53,6.5,10,512,6442269.61,13465649.05,75.55
2023,2,India,i7,Electric,Hybrid,393,8.2,6.5,10,1153,4029250.86,7927958.55,96.72
2017,12,USA,X3,SUV,Petrol,179,6.8,6,6,639,6535703.68,9955350.24,63.09
2023,10,Australia,X1,SUV,Diesel,176,8.2,6.5,4,545,4339714.06,27040271.31,96.72
2021,9,UK,7 Series,SUV,Diesel,197,9.05,4,8,430,7102529.28,13642896.96,99.86
2018,8,India,7 Series,SUV,Diesel,178,6.53,6.5,7,807,5419018.43,30359825.58,75.55
2017,9,Canada,X3,Electric,Petrol,298,6.8,6,7,622,6544364.64,9604744.16,63.09
2024,5,Japan,iX,Electric,Diesel,238,6.8,6.5,10,805,2926809.6,16373760,94.77
2019,11,Japan,3 Series,Sedan,Diesel,106,4.04,5.15,9,667,3670149.56,31703999.46,72.96
2019,11,USA,X3,SUV,Diesel,376,4.04,5.15,5,1202,4057318.72,17005021.6,72.96
2017,2,Brazil,X5,SUV,Hybrid,25,6.8,6,6,151,2331165.76,28761550.4,63.09
2023,8,Germany,X7,SUV,Hybrid,288,8.2,6.5,1,711,3517564.57,39777189.23,96.72
2018,12,UK,i7,Electric,Petrol,144,6.53,6.5,6,561,4128225.57,11739006.72,75.55
2019,6,UK,7 Series,SUV,Petrol,35,4.04,5.15,2,192,2661523.9,23753158.94,72.96
2018,8,Australia,5 Series,Electric,Diesel,361,6.53,6.5,6,936,5489254.96,13595248.1,75.55
2019,11,Australia,7 Series,SUV,Hybrid,21,4.04,5.15,9,395,7593599.86,9683313.36,72.96
2021,5,Japan,i7,SUV,Electric,81,9.05,4,8,267,2815169.28,19576898.88,99.86
2023,10,Japan,X7,Sedan,Electric,142,8.2,6.5,9,716,9218610.22,29045070.91,96.72
2021,2,France,i7,SUV,Diesel,115,9.05,4,10,524,2641235.52,23970038.4,99.86
2019,6,France,5 Series,SUV,Diesel,229,4.04,5.15,8,717,2544204.18,8093088.92,72.96
2024,5,Brazil,X3,Sedan,Hybrid,382,6.8,6.5,3,935,5243430.4,7540665.6,94.77
2024,12,France,X1,Electric,Hybrid,186,6.8,6.5,8,622,3045536,21526003.2,94.77
2021,12,Germany,5 Series,Electric,Hybrid,291,9.05,4,6,681,8316443.52,3941192.64,99.86
2024,5,Germany,i7,SUV,Petrol,142,6.8,6.5,6,348,6583616,29712716.8,94.77
2019,1,UK,i7,Electric,Petrol,31,4.04,5.15,6,231,4525541.3,25087758.78,72.96
2017,2,China,X5,SUV,Diesel,278,6.8,6,3,896,4384529.6,15805796.16,63.09
2021,8,Germany,X5,Sedan,Petrol,170,9.05,4,10,735,7648428.48,26263923.84,99.86
2016,3,India,i4,Sedan,Hybrid,116,8.26,6.25,1,708,3372064.53,15926381.65,59.68
2023,10,Japan,X5,SUV,Hybrid,288,8.2,6.5,4,625,5019512.87,40529236.79,96.72
2024,3,Australia,3 Series,Sedan,Petrol,362,6.8,6.5,10,1022,8786752,19168281.6,94.77
2024,8,France,X1,Sedan,Electric,244,6.8,6.5,6,951,6228934.4,34736665.6,94.77
2015,8,UK,X7,SUV,Diesel,27,8,6.75,10,212,2302535.95,21018619.2,60.49
2020,2,USA,5 Series,SUV,Electric,251,5.83,4,2,982,4058679.3,18500176.5,79.76
2021,8,Australia,i7,Sedan,Diesel,126,9.05,4,7,659,2900546.88,34733233.92,99.86
2022,11,India,i4,Electric,Electric,295,7.24,6.25,7,1031,4390831.8,27458124,105.41
2024,1,France,i4,Electric,Petrol,291,6.8,6.5,4,666,7189728,31456422.4,94.77
2023,6,India,X7,SUV,Diesel,153,8.2,6.5,4,601,8584637.76,37306859.97,96.72
2016,8,Japan,X1,SUV,Diesel,214,8.26,6.25,1,510,6411941.7,24828855.08,59.68
2024,3,Japan,5 Series,Electric,Diesel,48,6.8,6.5,2,474,3038048,21829100.8,94.77
2016,8,Brazil,7 Series,Sedan,Hybrid,163,8.26,6.25,9,759,3332959.95,7088612.19,59.68
2019,12,UK,X5,Electric,Hybrid,185,4.04,5.15,10,750,6425120.8,16505110.02,72.96
2019,1,Australia,X3,Electric,Electric,250,4.04,5.15,8,930,2858066.12,5425368.06,72.96
